subscription_id,customer_id,plan_id,start_date,end_date,churn_flag,churn_date,mrr_value,Contract,plan
29,5248-YGIJN,29,3/3/2020,NULL,0,NULL,90.25,Two year,Enterprise
30,8773-HHUOZ,30,10/3/2024,3/3/2026,1,3/3/2026,64.7,Month-to-month,Pro
31,3841-NFECX,31,4/3/2020,NULL,0,NULL,96.35,Two year,Enterprise
32,4929-XIHVW,32,1/3/2026,NULL,0,NULL,95.5,Month-to-month,Enterprise
33,6827-IEAUQ,33,12/3/2023,NULL,0,NULL,66.15,One year,Pro
34,7310-EGVHZ,34,2/3/2026,NULL,0,NULL,20.2,Month-to-month,Basic
35,3413-BMNZE,35,2/3/2026,NULL,0,NULL,45.25,Month-to-month,Pro
36,6234-RAAPL,36,3/3/2020,NULL,0,NULL,99.9,Two year,Enterprise
37,6047-YHPVI,37,10/3/2025,3/3/2026,1,3/3/2026,69.7,Month-to-month,Pro
38,6572-ADKRS,38,5/3/2022,NULL,0,NULL,74.8,Month-to-month,Pro
39,5380-WJKOV,39,5/3/2023,3/3/2026,1,3/3/2026,106.35,Month-to-month,Enterprise
40,8168-UQWWF,40,4/3/2025,3/3/2026,1,3/3/2026,97.85,Month-to-month,Enterprise
41,8865-TNMNX,41,5/3/2025,NULL,0,NULL,49.55,One year,Pro
42,9489-DEDVP,42,5/3/2020,NULL,0,NULL,69.2,Two year,Pro
43,9867-JCZSP,43,10/3/2024,NULL,0,NULL,20.75,One year,Basic
44,4671-VJLCL,44,12/3/2020,NULL,0,NULL,79.85,Two year,Pro
45,4080-IIARD,45,2/3/2025,NULL,0,NULL,76.2,Month-to-month,Pro
46,3714-NTNFO,46,2/3/2022,NULL,0,NULL,84.5,Month-to-month,Enterprise
47,5948-UJZLF,47,1/3/2026,NULL,0,NULL,49.25,Month-to-month,Pro
48,7760-OYPDY,48,1/3/2026,3/3/2026,1,3/3/2026,80.65,Month-to-month,Enterprise
49,7639-LIAYI,49,11/3/2021,NULL,0,NULL,79.75,Two year,Pro
50,2954-PIBKO,50,6/3/2020,NULL,0,NULL,64.15,Two year,Pro
51,8012-SOUDQ,51,8/3/2022,NULL,0,NULL,90.25,Month-to-month,Enterprise
52,9420-LOJKX,52,12/3/2024,3/3/2026,1,3/3/2026,99.1,Month-to-month,Enterprise
53,6575-SUVOI,53,2/3/2024,NULL,0,NULL,69.5,Month-to-month,Pro
54,7495-OOKFY,54,7/3/2025,3/3/2026,1,3/3/2026,80.65,Month-to-month,Enterprise
55,4667-QONEA,55,3/3/2021,NULL,0,NULL,74.85,One year,Pro
56,1658-BYGOY,56,9/3/2024,3/3/2026,1,3/3/2026,95.45,Month-to-month,Enterprise
57,8769-KKTPH,57,12/3/2020,NULL,0,NULL,99.65,One year,Enterprise
58,5067-XJQFU,58,9/3/2020,NULL,0,NULL,108.45,One year,Enterprise
59,3957-SQXML,59,5/3/2023,NULL,0,NULL,24.95,Two year,Basic
60,5954-BDFSG,60,3/3/2020,NULL,0,NULL,107.5,Two year,Enterprise
61,0434-CSFON,61,4/3/2022,NULL,0,NULL,100.5,Month-to-month,Enterprise
62,1215-FIGMP,62,3/3/2021,NULL,0,NULL,89.9,Month-to-month,Enterprise
63,0526-SXDJP,63,3/3/2020,NULL,0,NULL,42.1,Two year,Pro
64,0557-ASKVU,64,9/3/2024,NULL,0,NULL,54.4,One year,Pro
65,5698-BQJOH,65,6/3/2025,3/3/2026,1,3/3/2026,94.4,Month-to-month,Enterprise
66,5122-CYFXA,66,12/3/2025,NULL,0,NULL,75.3,Month-to-month,Pro
67,8627-ZYGSZ,67,4/3/2022,NULL,0,NULL,78.9,One year,Pro
68,3410-YOQBQ,68,8/3/2023,NULL,0,NULL,79.2,Two year,Pro
69,3170-NMYVV,69,1/3/2022,NULL,0,NULL,20.15,Two year,Basic
70,7410-OIEDU,70,5/3/2025,NULL,0,NULL,79.85,Month-to-month,Pro
71,2273-QCKXA,71,2/3/2026,NULL,0,NULL,49.05,Month-to-month,Pro
72,0731-EBJQB,72,11/3/2021,NULL,0,NULL,20.4,One year,Basic
73,1891-QRQSA,73,11/3/2020,NULL,0,NULL,111.6,Two year,Enterprise
74,8028-PNXHQ,74,1/3/2021,NULL,0,NULL,24.25,Two year,Basic
75,5630-AHZIL,75,12/3/2025,NULL,0,NULL,64.5,Month-to-month,Pro
76,2673-CXQEU,76,7/3/2021,NULL,0,NULL,110.5,One year,Enterprise
77,6416-JNVRK,77,5/3/2022,NULL,0,NULL,55.65,One year,Pro
78,5590-ZSKRV,78,7/3/2025,NULL,0,NULL,54.65,Month-to-month,Pro
79,0191-ZHSKZ,79,9/3/2023,NULL,0,NULL,74.75,Month-to-month,Pro
80,3887-PBQAO,80,6/3/2022,NULL,0,NULL,25.9,One year,Basic
81,5919-TMRGD,81,2/3/2026,3/3/2026,1,3/3/2026,79.35,Month-to-month,Pro
82,8108-UXRQN,82,4/3/2025,NULL,0,NULL,50.55,Month-to-month,Pro
83,9191-MYQKX,83,8/3/2025,3/3/2026,1,3/3/2026,75.15,Month-to-month,Pro
84,9919-YLNNG,84,9/3/2022,NULL,0,NULL,103.8,Month-to-month,Enterprise
85,0318-ZOPWS,85,2/3/2022,NULL,0,NULL,20.15,Two year,Basic
86,4445-ZJNMU,86,6/3/2025,NULL,0,NULL,99.3,Month-to-month,Enterprise
87,4808-YNLEU,87,4/3/2023,NULL,0,NULL,62.15,One year,Pro
88,1862-QRWPE,88,3/3/2022,NULL,0,NULL,20.65,Two year,Basic
89,2796-NNUFI,89,5/3/2022,NULL,0,NULL,19.95,Two year,Basic
90,3016-KSVCP,90,10/3/2023,NULL,0,NULL,33.75,Month-to-month,Basic
91,4767-HZZHQ,91,9/3/2023,NULL,0,NULL,82.05,Month-to-month,Enterprise
92,2424-WVHPL,92,2/3/2026,NULL,0,NULL,74.7,Month-to-month,Pro
93,7233-PAHHL,93,9/3/2020,NULL,0,NULL,84,Two year,Enterprise
94,6067-NGCEU,94,10/3/2020,NULL,0,NULL,111.05,Month-to-month,Enterprise
95,9848-JQJTX,95,3/3/2020,NULL,0,NULL,100.9,Two year,Enterprise
96,8637-XJIVR,96,3/3/2025,3/3/2026,1,3/3/2026,78.95,Month-to-month,Pro
97,9803-FTJCG,97,4/3/2020,NULL,0,NULL,66.85,One year,Pro
98,0278-YXOOG,98,10/3/2025,3/3/2026,1,3/3/2026,21.05,Month-to-month,Basic
99,3212-KXOCR,99,11/3/2021,NULL,0,NULL,21,Two year,Basic
100,4598-XLKNJ,100,2/3/2024,3/3/2026,1,3/3/2026,98.5,Month-to-month,Enterprise
101,6380-ARCEH,101,2/3/2026,NULL,0,NULL,20.2,Month-to-month,Basic
102,3679-XASPY,102,2/3/2026,NULL,0,NULL,19.45,Month-to-month,Basic
103,7123-WQUHX,103,1/3/2023,NULL,0,NULL,95,One year,Enterprise
104,5386-THSLQ,104,9/3/2020,NULL,0,NULL,45.55,One year,Pro
105,3192-NQECA,105,7/3/2020,3/3/2026,1,3/3/2026,110,Two year,Enterprise
106,6180-YBIQI,106,10/3/2025,NULL,0,NULL,24.3,Month-to-month,Basic
107,6728-DKUCO,107,3/3/2020,NULL,0,NULL,104.15,One year,Enterprise
108,9750-BOOHV,108,7/3/2023,NULL,0,NULL,30.15,One year,Basic
109,8597-CWYHH,109,8/3/2022,NULL,0,NULL,94.35,One year,Enterprise
110,2848-YXSMW,110,3/3/2020,NULL,0,NULL,19.4,Two year,Basic
111,0486-HECZI,111,8/3/2021,3/3/2026,1,3/3/2026,96.75,Month-to-month,Enterprise
112,4549-ZDQYY,112,11/3/2021,NULL,0,NULL,57.95,One year,Pro
113,5712-AHQNN,113,8/3/2022,NULL,0,NULL,91.65,Month-to-month,Enterprise
114,4846-WHAFZ,114,2/3/2023,3/3/2026,1,3/3/2026,76.5,Month-to-month,Pro
115,5256-SKJGO,115,11/3/2020,NULL,0,NULL,54.6,Two year,Pro
116,3071-VBYPO,116,12/3/2025,NULL,0,NULL,89.85,Month-to-month,Enterprise
117,9560-BBZXK,117,3/3/2023,NULL,0,NULL,31.05,Two year,Basic
118,5299-RULOA,118,5/3/2025,3/3/2026,1,3/3/2026,100.25,Month-to-month,Enterprise
119,8402-OOOHJ,119,10/3/2022,NULL,0,NULL,20.65,Two year,Basic
120,9445-ZUEQE,120,12/3/2023,NULL,0,NULL,85.2,Month-to-month,Enterprise
121,1091-SOZGA,121,7/3/2021,NULL,0,NULL,99.8,One year,Enterprise
122,2928-HLDBA,122,9/3/2025,NULL,0,NULL,20.7,Month-to-month,Basic
123,0404-SWRVG,123,12/3/2025,3/3/2026,1,3/3/2026,74.4,Month-to-month,Pro
124,6497-TILVL,124,8/3/2025,NULL,0,NULL,50.7,Month-to-month,Pro
125,7219-TLZHO,125,11/3/2025,NULL,0,NULL,20.85,Month-to-month,Basic
126,4622-YNKIJ,126,6/3/2023,NULL,0,NULL,88.95,Two year,Enterprise
127,4412-YLTKF,127,12/3/2023,3/3/2026,1,3/3/2026,78.05,Month-to-month,Pro
128,6734-PSBAW,128,3/3/2020,NULL,0,NULL,23.55,Two year,Basic
129,3930-ZGWVE,129,2/3/2026,NULL,0,NULL,19.75,Month-to-month,Basic
130,2639-UGMAZ,130,4/3/2020,NULL,0,NULL,56.45,One year,Pro
131,2876-GZYZC,131,2/3/2025,NULL,0,NULL,85.95,Month-to-month,Enterprise
132,6207-WIOLX,132,2/3/2024,3/3/2026,1,3/3/2026,58.6,Month-to-month,Pro
133,8587-XYZSF,133,8/3/2020,NULL,0,NULL,50.55,Two year,Pro
134,3091-FYHKI,134,2/3/2026,3/3/2026,1,3/3/2026,35.45,Month-to-month,Basic
135,2372-HWUHI,135,1/3/2026,3/3/2026,1,3/3/2026,44.35,Month-to-month,Pro
136,7799-LGRDP,136,8/3/2022,NULL,0,NULL,25.7,Two year,Basic
137,7850-VWJUU,137,4/3/2024,NULL,0,NULL,75,Month-to-month,Pro
138,3774-VBNXY,138,11/3/2020,NULL,0,NULL,20.2,Two year,Basic
139,6217-KDYWC,139,6/3/2021,NULL,0,NULL,19.6,Two year,Basic
140,0390-DCFDQ,140,2/3/2026,3/3/2026,1,3/3/2026,70.45,Month-to-month,Pro
141,3146-MSEGF,141,3/3/2020,NULL,0,NULL,88.05,Two year,Enterprise
142,4080-OGPJL,142,7/3/2025,3/3/2026,1,3/3/2026,71.15,Month-to-month,Pro
143,1095-WGNGG,143,2/3/2021,NULL,0,NULL,101.05,Two year,Enterprise
144,2636-SJDOU,144,11/3/2020,NULL,0,NULL,84.3,One year,Enterprise
145,1131-QQZEB,145,4/3/2020,NULL,0,NULL,23.95,Two year,Basic
146,5716-EZXZN,146,10/3/2020,NULL,0,NULL,99.05,Two year,Enterprise
147,6837-BJYDQ,147,12/3/2025,NULL,0,NULL,19.6,One year,Basic
148,2135-RXIHG,148,2/3/2026,3/3/2026,1,3/3/2026,45.65,Month-to-month,Pro
149,6440-DKQGE,149,9/3/2023,NULL,0,NULL,64.5,One year,Pro
150,3466-BYAVD,150,12/3/2024,NULL,0,NULL,69.5,Month-to-month,Pro
151,3780-YVMFA,151,7/3/2025,NULL,0,NULL,68.55,Month-to-month,Pro
152,3874-EQOEP,152,8/3/2025,3/3/2026,1,3/3/2026,95,Month-to-month,Enterprise
153,1679-JRFBR,153,5/3/2020,NULL,0,NULL,108.15,One year,Enterprise
154,9073-ZZIAY,154,1/3/2021,NULL,0,NULL,86.1,Two year,Enterprise
155,3077-RSNTJ,155,9/3/2025,NULL,0,NULL,19.7,Month-to-month,Basic
156,6551-GNYDG,156,1/3/2025,NULL,0,NULL,80.9,Month-to-month,Enterprise
157,9167-APMXZ,157,5/3/2024,NULL,0,NULL,84.15,Month-to-month,Enterprise
158,2749-CTKAJ,158,5/3/2024,NULL,0,NULL,20.15,One year,Basic
159,6371-NZYEG,159,11/3/2024,NULL,0,NULL,64.25,Two year,Pro
160,7554-NEWDD,160,5/3/2025,NULL,0,NULL,25.7,Two year,Basic
161,8992-VONJD,161,2/3/2025,NULL,0,NULL,56,Month-to-month,Pro
162,0867-MKZVY,162,7/3/2024,3/3/2026,1,3/3/2026,82.4,Month-to-month,Enterprise
163,4482-EWFMI,163,1/3/2026,NULL,0,NULL,69.7,Month-to-month,Pro
164,4648-YPBTM,164,10/3/2021,NULL,0,NULL,73.9,Two year,Pro
165,2907-ILJBN,165,4/3/2025,NULL,0,NULL,20.6,One year,Basic
166,6345-FZOQH,166,6/3/2020,NULL,0,NULL,19.9,Two year,Basic
167,3376-BMGFE,167,11/3/2025,3/3/2026,1,3/3/2026,70.9,Month-to-month,Pro
168,5997-OPVFA,168,3/3/2020,NULL,0,NULL,89.05,Two year,Enterprise
169,3445-HXXGF,169,5/3/2021,3/3/2026,1,3/3/2026,45.3,Month-to-month,Pro
170,1159-WFSGR,170,11/3/2024,NULL,0,NULL,20.4,Month-to-month,Basic
171,7654-YWJUF,171,8/3/2022,NULL,0,NULL,84.25,One year,Enterprise
172,1875-QIVME,172,1/3/2026,3/3/2026,1,3/3/2026,104.4,Month-to-month,Enterprise
173,6727-IOTLZ,173,1/3/2025,NULL,0,NULL,81.95,Two year,Enterprise
174,0691-JVSYA,174,10/3/2021,3/3/2026,1,3/3/2026,94.85,One year,Enterprise
175,5918-VUKWP,175,7/3/2023,NULL,0,NULL,20.55,One year,Basic
176,1744-JHKYS,176,5/3/2023,NULL,0,NULL,24.7,Month-to-month,Basic
177,2656-FMOKZ,177,12/3/2024,3/3/2026,1,3/3/2026,74.45,Month-to-month,Pro
178,2070-FNEXE,178,8/3/2025,3/3/2026,1,3/3/2026,76.45,Month-to-month,Pro
179,5947-SGKCL,179,12/3/2024,NULL,0,NULL,105.35,Month-to-month,Enterprise
180,3712-PKXZA,180,2/3/2021,NULL,0,NULL,20.55,One year,Basic
181,6317-YPKDH,181,2/3/2026,3/3/2026,1,3/3/2026,29.95,Month-to-month,Basic
182,6582-OIVSP,182,2/3/2026,NULL,0,NULL,45.3,Month-to-month,Pro
183,9367-WXLCH,183,7/3/2025,3/3/2026,1,3/3/2026,84.5,Month-to-month,Enterprise
184,5524-KHNJP,184,6/3/2023,NULL,0,NULL,74.75,One year,Pro
185,1918-ZBFQJ,185,2/3/2025,3/3/2026,1,3/3/2026,79.25,Month-to-month,Pro
186,1024-GUALD,186,2/3/2026,3/3/2026,1,3/3/2026,24.8,Month-to-month,Basic
187,4827-USJHP,187,7/3/2024,NULL,0,NULL,51.8,Month-to-month,Pro
188,8167-GJLRN,188,12/3/2025,NULL,0,NULL,30.4,Month-to-month,Basic
189,0956-SYCWG,189,2/3/2025,NULL,0,NULL,19.65,One year,Basic
190,8017-UVSZU,190,11/3/2022,NULL,0,NULL,56.6,Month-to-month,Pro
191,7100-FQPRV,191,8/3/2022,NULL,0,NULL,71.9,One year,Pro
192,2472-OVKUP,192,9/3/2025,3/3/2026,1,3/3/2026,91,Month-to-month,Enterprise
193,2984-RGEYA,193,6/3/2020,NULL,0,NULL,19.75,Two year,Basic
194,9680-NIAUV,194,3/3/2020,NULL,0,NULL,109.7,Two year,Enterprise
195,2146-EGVDT,195,4/3/2021,NULL,0,NULL,19.3,Two year,Basic
196,2604-IJPDU,196,7/3/2024,NULL,0,NULL,96.55,Month-to-month,Enterprise
197,9178-JHUVJ,197,3/3/2024,NULL,0,NULL,24.1,Two year,Basic
198,6168-YBYNP,198,4/3/2021,NULL,0,NULL,111.35,Month-to-month,Enterprise
199,7255-SSFBC,199,3/3/2020,NULL,0,NULL,112.25,Two year,Enterprise
200,3645-DEYGF,200,2/3/2026,NULL,0,NULL,20.75,Month-to-month,Basic
201,9323-HGFWY,201,12/3/2023,NULL,0,NULL,101.9,One year,Enterprise
202,8544-GOQSH,202,1/3/2025,NULL,0,NULL,80.05,Month-to-month,Enterprise
203,3363-DTIVD,203,4/3/2020,NULL,0,NULL,105.55,Two year,Enterprise
204,7018-WBJNK,204,2/3/2025,NULL,0,NULL,78.3,Month-to-month,Pro
205,9142-KZXOP,205,7/3/2022,NULL,0,NULL,68.85,Month-to-month,Pro
206,7674-YTAFD,206,6/3/2023,NULL,0,NULL,79.95,One year,Pro
207,6348-SNFUS,207,3/3/2020,NULL,0,NULL,55.45,Two year,Pro
208,1285-OKIPP,208,2/3/2026,3/3/2026,1,3/3/2026,79.9,Month-to-month,Pro
209,7825-ECJRF,209,8/3/2024,3/3/2026,1,3/3/2026,106.6,Month-to-month,Enterprise
210,1347-KTTTA,210,11/3/2020,NULL,0,NULL,102.45,One year,Enterprise
211,7841-TZDMQ,211,1/3/2026,3/3/2026,1,3/3/2026,46,Month-to-month,Pro
212,4195-NZGTA,212,2/3/2026,NULL,0,NULL,25.25,Month-to-month,Basic
213,7157-SMCFK,213,2/3/2021,NULL,0,NULL,19.75,Two year,Basic
214,4709-LKHYG,214,10/3/2023,NULL,0,NULL,20,One year,Basic
215,2504-DSHIH,215,4/3/2024,NULL,0,NULL,86.8,Month-to-month,Enterprise
216,0699-NDKJM,216,6/3/2021,NULL,0,NULL,58.75,Month-to-month,Pro
217,9286-BHDQG,217,3/3/2020,NULL,0,NULL,45.25,Two year,Pro
218,0230-WEQUW,218,9/3/2020,NULL,0,NULL,56.6,Two year,Pro
219,2040-LDIWQ,219,10/3/2020,NULL,0,NULL,84.2,Two year,Enterprise
220,6496-JDSSB,220,7/3/2025,NULL,0,NULL,80,Month-to-month,Pro
221,9408-SSNVZ,221,11/3/2025,3/3/2026,1,3/3/2026,70.15,Month-to-month,Pro
222,4443-EMBNA,222,4/3/2020,NULL,0,NULL,24.75,Two year,Basic
223,6469-MRVET,223,2/3/2026,NULL,0,NULL,20.2,One year,Basic
224,0742-MOABM,224,11/3/2025,3/3/2026,1,3/3/2026,50.05,Month-to-month,Pro
225,5961-VUSRV,225,3/3/2025,NULL,0,NULL,19.35,One year,Basic
226,6778-JFCMK,226,3/3/2024,NULL,0,NULL,50.6,One year,Pro
227,6341-JVQGF,227,8/3/2023,NULL,0,NULL,81.15,One year,Enterprise
228,2232-DMLXU,228,2/3/2026,3/3/2026,1,3/3/2026,55.2,Month-to-month,Pro
229,4811-JBUVU,229,9/3/2023,NULL,0,NULL,89.9,Month-to-month,Enterprise
230,0945-TSONX,230,4/3/2022,NULL,0,NULL,85.3,Two year,Enterprise
231,2651-ZCBXV,231,9/3/2021,NULL,0,NULL,108,Two year,Enterprise
232,3316-UWXUY,232,1/3/2022,NULL,0,NULL,93.5,Month-to-month,Enterprise
233,8937-RDTHP,233,2/3/2026,3/3/2026,1,3/3/2026,84.6,Month-to-month,Enterprise
234,7083-MIOPC,234,3/3/2020,NULL,0,NULL,20.25,Two year,Basic
235,1984-GPTEH,235,10/3/2023,NULL,0,NULL,25.15,Month-to-month,Basic
236,1251-KRREG,236,1/3/2026,3/3/2026,1,3/3/2026,54.4,Month-to-month,Pro
237,0621-JFHOL,237,5/3/2025,NULL,0,NULL,29.6,Two year,Basic
238,9903-LYSAB,238,9/3/2024,NULL,0,NULL,73.15,Month-to-month,Pro
239,0094-OIFMO,239,4/3/2025,3/3/2026,1,3/3/2026,95,Month-to-month,Enterprise
240,9227-UAQFT,240,11/3/2024,NULL,0,NULL,19.75,Two year,Basic
241,7301-ABVAD,241,3/3/2020,NULL,0,NULL,86.6,Two year,Enterprise
242,6614-FHDBO,242,3/3/2020,NULL,0,NULL,109.2,Two year,Enterprise
243,7576-ASEJU,243,10/3/2022,NULL,0,NULL,74.7,One year,Pro
244,9058-HRZSV,244,10/3/2020,NULL,0,NULL,94.4,Month-to-month,Enterprise
245,4522-AKYLR,245,2/3/2025,NULL,0,NULL,54.8,Month-to-month,Pro
246,0221-WMXNQ,246,11/3/2025,NULL,0,NULL,75.35,Month-to-month,Pro
247,0303-UNCIP,247,10/3/2022,NULL,0,NULL,65,One year,Pro
248,9947-OTFQU,248,12/3/2024,3/3/2026,1,3/3/2026,74.4,Month-to-month,Pro
249,0322-YINQP,249,2/3/2026,3/3/2026,1,3/3/2026,48.55,Month-to-month,Pro
250,0959-WHOKV,250,9/3/2022,NULL,0,NULL,99,One year,Enterprise
251,4075-JFPGR,251,12/3/2021,NULL,0,NULL,93.5,One year,Enterprise
252,4629-NRXKX,252,1/3/2026,3/3/2026,1,3/3/2026,70.4,Month-to-month,Pro
253,9514-JDSKI,253,2/3/2026,3/3/2026,1,3/3/2026,40.2,Month-to-month,Pro
254,3282-ZISZV,254,7/3/2023,NULL,0,NULL,83.7,One year,Enterprise
255,3675-YDUPJ,255,5/3/2025,NULL,0,NULL,19.85,Month-to-month,Basic
256,4111-BNXIF,256,8/3/2020,NULL,0,NULL,59.55,Two year,Pro
257,7017-VFHAY,257,2/3/2021,NULL,0,NULL,115.1,Two year,Enterprise
258,6655-LHBYW,258,1/3/2022,NULL,0,NULL,114.35,One year,Enterprise
259,4959-JOSRX,259,1/3/2026,3/3/2026,1,3/3/2026,44.6,Month-to-month,Pro
260,5046-NUHWD,260,10/3/2023,NULL,0,NULL,45,Month-to-month,Pro
261,7273-TEFQD,261,12/3/2025,3/3/2026,1,3/3/2026,41.15,Month-to-month,Pro
262,3606-TWKGI,262,2/3/2025,3/3/2026,1,3/3/2026,106.9,Month-to-month,Enterprise
263,7529-ZDFXI,263,6/3/2021,NULL,0,NULL,89.85,Month-to-month,Enterprise
264,7605-BDWDC,264,8/3/2023,NULL,0,NULL,49.85,Two year,Pro
265,1950-KSVVJ,265,6/3/2022,NULL,0,NULL,113.3,One year,Enterprise
266,0123-CRBRT,266,2/3/2021,NULL,0,NULL,88.1,Two year,Enterprise
267,6292-TOSSS,267,1/3/2022,NULL,0,NULL,24.9,Two year,Basic
268,3197-ARFOY,268,8/3/2024,NULL,0,NULL,105,Month-to-month,Enterprise
269,6323-AYBRX,269,4/3/2021,3/3/2026,1,3/3/2026,19.35,Two year,Basic
270,7014-ZZXAW,270,4/3/2020,NULL,0,NULL,24.25,Two year,Basic
271,4385-GZQXV,271,11/3/2024,3/3/2026,1,3/3/2026,94.45,Month-to-month,Enterprise
272,7633-MVPUY,272,6/3/2021,NULL,0,NULL,59.75,Two year,Pro
273,6366-ZGQGL,273,2/3/2026,3/3/2026,1,3/3/2026,24.8,Month-to-month,Basic
274,4716-HHKQH,274,7/3/2024,NULL,0,NULL,107.05,Month-to-month,Enterprise
275,5940-AHUHD,275,2/3/2026,3/3/2026,1,3/3/2026,70.6,Month-to-month,Pro
276,6432-TWQLB,276,10/3/2025,3/3/2026,1,3/3/2026,85.4,Month-to-month,Enterprise
277,4484-GLZOU,277,11/3/2021,3/3/2026,1,3/3/2026,105.05,Month-to-month,Enterprise
278,3179-GBRWV,278,6/3/2024,NULL,0,NULL,64.95,Month-to-month,Pro
279,8645-KWHJO,279,1/3/2025,NULL,0,NULL,55,Month-to-month,Pro
280,4130-MZLCC,280,10/3/2025,NULL,0,NULL,50.55,Month-to-month,Pro
281,0314-TKOSI,281,9/3/2025,NULL,0,NULL,55.15,Month-to-month,Pro
282,8229-MYEJZ,282,5/3/2025,NULL,0,NULL,51.2,Month-to-month,Pro
283,2080-SRCDE,283,2/3/2026,NULL,0,NULL,25.4,Month-to-month,Basic
284,9577-WJVCQ,284,7/3/2020,NULL,0,NULL,54.45,Month-to-month,Pro
285,9512-UIBFX,285,9/3/2024,3/3/2026,1,3/3/2026,95.15,Month-to-month,Enterprise
286,6202-DYYFX,286,5/3/2024,NULL,0,NULL,76,One year,Pro
287,3808-HFKDE,287,7/3/2024,NULL,0,NULL,44.35,Month-to-month,Pro
288,5583-SXDAG,288,2/3/2026,3/3/2026,1,3/3/2026,70,Month-to-month,Pro
289,3488-PGMQJ,289,7/3/2025,3/3/2026,1,3/3/2026,74.5,Month-to-month,Pro
290,3580-REOAC,290,5/3/2025,3/3/2026,1,3/3/2026,44.85,Month-to-month,Pro
291,7534-BFESC,291,3/3/2024,3/3/2026,1,3/3/2026,76.1,Month-to-month,Pro
292,3727-OWVYD,292,4/3/2023,NULL,0,NULL,61.2,One year,Pro
293,2294-SALNE,293,4/3/2024,NULL,0,NULL,86.8,One year,Enterprise
294,4847-TAJYI,294,9/3/2025,NULL,0,NULL,89.35,Month-to-month,Enterprise
295,1563-IWQEX,295,3/3/2025,NULL,0,NULL,19.7,Month-to-month,Basic
296,8203-XJZRC,296,2/3/2026,NULL,0,NULL,20.25,Month-to-month,Basic
297,6556-DBKZF,297,4/3/2020,NULL,0,NULL,76.05,Two year,Pro
298,6851-WEFYX,298,4/3/2023,NULL,0,NULL,100.8,Month-to-month,Enterprise
299,2985-JUUBZ,299,11/3/2022,NULL,0,NULL,74.55,Month-to-month,Pro
300,6390-DSAZX,300,2/3/2026,3/3/2026,1,3/3/2026,73.6,Month-to-month,Pro
301,0895-LMRSF,301,4/3/2024,NULL,0,NULL,64.9,One year,Pro
302,8098-LLAZX,302,11/3/2025,3/3/2026,1,3/3/2026,95.45,Month-to-month,Enterprise
303,8266-VBFQL,303,11/3/2025,NULL,0,NULL,90.4,Month-to-month,Enterprise
304,8181-YHCMF,304,7/3/2020,NULL,0,NULL,60.3,Two year,Pro
